"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","296-TPSM863252RDXRCT-ND","TPSM863252RDXR","3-V TO 17-V INPUT VOLTAGE 3-A E","","10","0","2.01900","20.19"
"2","100","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","100","0","0.01220","1.22"
"3","100","160-1447-1-ND","LTST-C191KRKT","LED RED CLEAR SMD","","100","0","0.04740","4.74"
"4","10","785-1000-1-ND","AO3400A","MOSFET N-CH 30V 5.7A SOT23-3L","","10","0","0.32200","3.22"
"5","100","311-4.7KGRCT-ND","RC0603JR-074K7L","RES 4.7K OHM 5% 1/10W 0603","","100","0","0.01080","1.08"
"6","10","EG5470CT-ND","TL3342F260QG","SWITCH TACTILE SPST-NO 0.05A 12V","","10","0","0.50600","5.06"
"7","10","311-28.7KHRCT-ND","RC0603FR-0728K7L","RES 28.7K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"8","10","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"9","3","1965-ESP32-S3-WROOM-1U-N8R8CT-ND","ESP32-S3-WROOM-1U-N8R8","RF TXRX MOD BLUETOOTH U.FL SMD","","3","0","6.32000","18.96"
"10","5","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","","5","0","0.80000","4.00"
"11","3","668-1463-ND","AT-1127-ST-2-R","BUZZER MAGNETIC 3V 9MM TH","","3","0","1.09000","3.27"
"12","10","311-30.0KHRCT-ND","RC0603FR-0730KL","RES 30K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"13","10","311-1.00KHRCT-ND","RC0603FR-071KL","RES 1K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"14","10","311-2.20KHRCT-ND","RC0603FR-072K2L","RES 2.2K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"15","10","311-220KHRCT-ND","RC0603FR-07220KL","RES 220K OHM 1% 1/10W 0603","","10","0","0.02500","0.25"
"16","10","13-RT0603BRD07135KLCT-ND","RT0603BRD07135KL","RES SMD 135K OHM 0.1% 1/10W 0603","","10","0","0.06700","0.67"
"17","10","1276-1096-1-ND","CL21A106KOQNNNE","CAP CER 10UF 16V X5R 0805","","10","0","0.05400","0.54"
"18","10","1276-1023-1-ND","CL10C220JB8NNNC","CAP CER 22PF 50V C0G/NP0 0603","","10","0","0.03800","0.38"
"19","10","1276-1274-1-ND","CL10A226MP8NUNE","CAP CER 22UF 10V X5R 0603","","10","0","0.08900","0.89"
"20","10","1276-1019-1-ND","CL10B105KO8NNNC","CAP CER 1UF 16V X7R 0603","","10","0","0.03700","0.37"
"21","10","1276-1000-1-ND","CL10B104KB8NNNC","CAP CER 0.1UF 50V X7R 0603","","10","0","0.02700","0.27"
"22","10","1276-1009-1-ND","CL10B103KB8NNNC","CAP CER 10000PF 50V X7R 0603","","10","0","0.02500","0.25"
"23","10","445-8238-1-ND","C2012X5R1A336M125AC","CAP CER 33UF 10V X5R 0805","","10","0","0.57700","5.77"

